Job name ; Cluster 0 ; Cluster 1 ; Cluster 2 ; Cluster 3 ; Cluster 4 ; Cluster 5 ; Cluster 6 ; Cluster 7
Job287 ; 0. ; 1.749992371e-003 ; 3.749996424e-003 ; 3.750008345e-003 ; 0. ; 9.750002623e-003 ; 0. ; 4.68749553e-003
Job286 ; 0. ; 2.499991655e-003 ; 4.499995708e-003 ; 0. ; 0. ; 1.050000191e-002 ; 0. ; 5.624994636e-003
Job66 ; 0. ; 2.999991179e-003 ; 4.999995232e-003 ; 0. ; 0. ; 1.100000143e-002 ; 0. ; 6.24999404e-003
Job64 ; 0. ; 3.749996424e-003 ; 5.750000477e-003 ; 0. ; 0. ; 5.750006437e-003 ; 0. ; 7.187500596e-003
Job65 ; 0. ; 4.499989748e-003 ; 6.499993801e-003 ; 0. ; 0. ; 4.999995232e-004 ; 0. ; 8.124992251e-003
Job63 ; 0. ; 4.999989271e-003 ; 6.999993324e-003 ; 0. ; 0. ; 0. ; 0. ; 8.749991655e-003
Job288 ; 0. ; 5.500000715e-003 ; 7.500004768e-003 ; 0. ; 0. ; 0. ; 0. ; 9.37500596e-003
Job198 ; 2.499878407e-004 ; 6.24999404e-003 ; 8.249998093e-003 ; 0. ; 0. ; 0. ; 0. ; 1.031249762e-002
Job67 ; 4.999935627e-004 ; 6.499999762e-003 ; 8.500003815e-003 ; 0. ; 0. ; 0. ; 0. ; 1.062500477e-002
Job289 ; 7.499873638e-004 ; 6.749993563e-003 ; 8.749997616e-003 ; 0. ; 0. ; 0. ; 0. ; 1.093749702e-002
Job290 ; 1.499992609e-003 ; 7.499998808e-003 ; 9.500002861e-003 ; 0. ; 0. ; 0. ; 0. ; 1.187500358e-002
Job68 ; 1.74998641e-003 ; 7.749992609e-003 ; 9.749996662e-003 ; 0. ; 0. ; 0. ; 0. ; 1.218749583e-002
Job199 ; 1.999992132e-003 ; 7.999998331e-003 ; 8.000004292e-003 ; 0. ; 0. ; 0. ; 0. ; 1.250000298e-002
Job291 ; 2.249991894e-003 ; 8.249998093e-003 ; 8.250004053e-003 ; 0. ; 0. ; 0. ; 2.499997616e-004 ; 1.031250507e-002
Job72 ; 2.499991655e-003 ; 8.499997854e-003 ; 8.500003815e-003 ; 0. ; 0. ; 0. ; 4.999995232e-004 ; 8.125007153e-003
Job70 ; 3.24998498e-003 ; 9.249991179e-003 ; 3.249996901e-003 ; 0. ; 0. ; 0. ; 1.249992847e-003 ; 9.062498808e-003
Job71 ; 3.999990225e-003 ; 9.999996424e-003 ; 0. ; 0. ; 0. ; 0. ; 1.999998093e-003 ; 1.000000536e-002
Job69 ; 4.499989748e-003 ; 1.049999595e-002 ; 0. ; 0. ; 0. ; 0. ; 2.499997616e-003 ; 1.062500477e-002
Job201 ; 4.999989271e-003 ; 1.099999547e-002 ; 0. ; 0. ; 0. ; 0. ; 2.999997139e-003 ; 1.125000417e-002
Job202 ; 5.249989033e-003 ; 1.124999523e-002 ; 0. ; 0. ; 0. ; 0. ; 3.249996901e-003 ; 9.062506258e-003
Job200 ; 5.499988794e-003 ; 1.149999499e-002 ; 0. ; 0. ; 0. ; 0. ; 3.499996662e-003 ; 6.875008345e-003
Job293 ; 5.749988556e-003 ; 1.174999475e-002 ; 0. ; 0. ; 0. ; 0. ; 3.749996424e-003 ; 4.687510431e-003
Job292 ; 6.499987841e-003 ; 1.249999404e-002 ; 0. ; 0. ; 0. ; 0. ; 4.499995708e-003 ; 0.
Job73 ; 6.999987364e-003 ; 1.299999356e-002 ; 0. ; 0. ; 0. ; 0. ; 4.999995232e-003 ; 0.
Job294 ; 7.249993086e-003 ; 1.324999928e-002 ; 0. ; 0. ; 0. ; 0. ; 5.250000954e-003 ; 0.
Job203 ; 7.999998331e-003 ; 1.400000453e-002 ; 0. ; 0. ; 5.960464478e-009 ; 1.192092896e-008 ; 6.000006199e-003 ; 0.
Job295 ; 8.249998093e-003 ; 1.425000429e-002 ; 0. ; 0. ; 2.50005722e-004 ; 2.500116825e-004 ; 6.25000596e-003 ; 0.
Job296 ; 8.999997377e-003 ; 1.500000358e-002 ; 0. ; 0. ; 1.000005007e-003 ; 1.000010967e-003 ; 7.000005245e-003 ; 0.
Job146 ; 9.249997139e-003 ; 1.525000334e-002 ; 0. ; 0. ; 1.250004768e-003 ; 1.250010729e-003 ; 7.250005007e-003 ; 0.
Job147 ; 9.749996662e-003 ; 1.175000072e-002 ; 0. ; 0. ; 1.750004292e-003 ; 1.750010252e-003 ; 7.75000453e-003 ; 0.
Job148 ; 1.049998999e-002 ; 6.499993801e-003 ; 0. ; 0. ; 2.499997616e-003 ; 2.500003576e-003 ; 8.499997854e-003 ; 0.
Job74 ; 1.099998951e-002 ; 2.999991179e-003 ; 0. ; 0. ; 2.999997139e-003 ; 3.000003099e-003 ; 8.999997377e-003 ; 0.
Job76 ; 9.249997139e-003 ; 3.249996901e-003 ; 0. ; 0. ; 3.250002861e-003 ; 3.250008821e-003 ; 9.250003099e-003 ; 0.
Job78 ; 3.999990225e-003 ; 3.999990225e-003 ; 0. ; 0. ; 3.999996185e-003 ; 4.000002146e-003 ; 9.999996424e-003 ; 0.
Job77 ; 0. ; 4.74999547e-003 ; 0. ; 0. ; 4.750001431e-003 ; 4.750007391e-003 ; 1.075000167e-002 ; 0.
Job75 ; 0. ; 5.249994993e-003 ; 0. ; 0. ; 5.250000954e-003 ; 5.250006914e-003 ; 1.125000119e-002 ; 0.
Job204 ; 0. ; 5.749994516e-003 ; 0. ; 0. ; 5.750000477e-003 ; 5.750006437e-003 ; 1.175000072e-002 ; 0.
Job297 ; 0. ; 5.999988317e-003 ; 0. ; 0. ; 5.999994278e-003 ; 6.000000238e-003 ; 9.999996424e-003 ; 0.
Job79 ; 0. ; 6.24999404e-003 ; 0. ; 0. ; 6.25e-003 ; 6.25000596e-003 ; 8.250004053e-003 ; 0.
Job206 ; 0. ; 6.499999762e-003 ; 0. ; 0. ; 6.500005722e-003 ; 6.500011683e-003 ; 8.500009775e-003 ; 0.
Job207 ; 0. ; 6.749993563e-003 ; 0. ; 0. ; 6.749999523e-003 ; 6.750005484e-003 ; 6.750005484e-003 ; 0.
Job205 ; 0. ; 6.999999285e-003 ; 0. ; 0. ; 7.000005245e-003 ; 7.000011206e-003 ; 5.000013113e-003 ; 0.
Job299 ; 0. ; 7.249993086e-003 ; 0. ; 0. ; 7.249999046e-003 ; 7.250005007e-003 ; 3.250008821e-003 ; 0.
Job298 ; 0. ; 7.999998331e-003 ; 5.960464478e-009 ; 0. ; 8.000004292e-003 ; 8.000010252e-003 ; 0. ; 0.
Job300 ; 0. ; 8.499997854e-003 ; 5.000054836e-004 ; 0. ; 8.500003815e-003 ; 8.500009775e-003 ; 0. ; 0.
Job208 ; 0. ; 9.249997139e-003 ; 1.250004768e-003 ; 0. ; 9.250003099e-003 ; 9.25000906e-003 ; 0. ; 0.
Job301 ; 0. ; 9.499996901e-003 ; 1.50000453e-003 ; 0. ; 9.500002861e-003 ; 9.500008821e-003 ; 0. ; 0.
Job302 ; 0. ; 1.024999619e-002 ; 2.250003815e-003 ; 2.50017643e-004 ; 1.025000215e-002 ; 1.025000811e-002 ; 0. ; 0.
